Título,Nota,URL,Etiquetas,Comentario
,,,,
"Restaurante Mindelle(Coreana,China)",,"https://www.google.com/maps/place/Restaurante+Mindelle(Coreana,China)/data=!4m2!3m1!1s0xd422938dd130219:0x8679132a13dbbd57",,
Sasa' pizzería,,https://www.google.com/maps/place/Sasa'+pizzer%C3%ADa/data=!4m2!3m1!1s0xd42276c9757f8eb:0xe32d879b4ddc04f0,,
Sal Mestiza,,https://www.google.com/maps/place/Sal+Mestiza/data=!4m2!3m1!1s0xd42299e40ed7c51:0xccd8845b5abe4b42,,
Barracuda l Restaurante Mexicano Madrid,sello copil,https://www.google.com/maps/place/Barracuda+l+Restaurante+Mexicano+Madrid/data=!4m2!3m1!1s0xd422984f8620365:0x28649cbfab22b39f,,
Los Aguachiles Jorge Juan,,https://www.google.com/maps/place/Los+Aguachiles+Jorge+Juan/data=!4m2!3m1!1s0xd4229f4f7bdb79d:0xf7607fa423f2abc8,,
Mexcalista | Comida Mexicana | Mezcales y Tequilas,sello copil,https://www.google.com/maps/place/Mexcalista+%7C+Comida+Mexicana+%7C+Mezcales+y+Tequilas/data=!4m2!3m1!1s0xd42290c68123a25:0x54d8fd7e2833a3aa,,
La Leña de Cobo,,https://www.google.com/maps/place/La+Le%C3%B1a+de+Cobo/data=!4m2!3m1!1s0xd418b0055fbbbc1:0x994d83fcf8e7b418,,
Baovan - House of Specialty Baos,,https://www.google.com/maps/place/Baovan+-+House+of+Specialty+Baos/data=!4m2!3m1!1s0xd4229e1e61947c9:0x3cab70fdd267fb8,,
Pizza Natura,,https://www.google.com/maps/place/Pizza+Natura/data=!4m2!3m1!1s0xd42296029b81da9:0x1d06f72ad24034e9,,
Viva Chapata,,https://www.google.com/maps/place/Viva+Chapata/data=!4m2!3m1!1s0xd4227a17813b1cb:0xe6dac45341f715e0,,
shlen,,https://www.google.com/maps/place/shlen/data=!4m2!3m1!1s0xd42296e84b85ae9:0x28e03bd40fb9d491,,
La Huerta Funky Castizo,,https://www.google.com/maps/place/La+Huerta+Funky+Castizo/data=!4m2!3m1!1s0xd4229baea205c7b:0x25d8571b1c370233,,
Viva Madrid,,https://www.google.com/maps/place/Viva+Madrid/data=!4m2!3m1!1s0xd4229829ef256e9:0x1a02ee064235b00e,,
"Musgo, Distrito Vegano Castizo",,"https://www.google.com/maps/place/Musgo,+Distrito+Vegano+Castizo/data=!4m2!3m1!1s0xd42262c6f133fdb:0xce949b40e1f1591d",,
El Gran Asador Lecanda,carn,https://www.google.com/maps/place/El+Gran+Asador+Lecanda/data=!4m2!3m1!1s0xd42292da9f65bad:0x9dda6f562f5ecbd2,,
Leña Madrid. Las brasas x Dani García,carne,https://www.google.com/maps/place/Le%C3%B1a+Madrid.+Las+brasas+x+Dani+Garc%C3%ADa/data=!4m2!3m1!1s0xd4229fb990d1353:0x658a515697c80898,,
Charrúa Madrid,carne,https://www.google.com/maps/place/Charr%C3%BAa+Madrid/data=!4m2!3m1!1s0xd4228856a6c9637:0x8673b16903da6e51,,
