Título,Nota,URL,Etiquetas,Comentario
,,,,
Itakua l Restaurante Pozuelo,,https://www.google.com/maps/place/Itakua+l+Restaurante+Pozuelo/data=!4m2!3m1!1s0xd41870cc6fb2a51:0x3d56fe45fe0e082a,,
"Restaurante Mindelle(Coreana,China)",,"https://www.google.com/maps/place/Restaurante+Mindelle(Coreana,China)/data=!4m2!3m1!1s0xd422938dd130219:0x8679132a13dbbd57",,
Mercado de la Cebada,,https://www.google.com/maps/place/Mercado+de+la+Cebada/data=!4m2!3m1!1s0xd4227d65db82497:0xe5b1b863bccd7bd0,,
Choose Restaurante Vegano,,https://www.google.com/maps/place/Choose+Restaurante+Vegano/data=!4m2!3m1!1s0xd42294df1d5db7b:0x8bd317a99f0736a2,,
Restaurante Argentino El Camoatí,,https://www.google.com/maps/place/Restaurante+Argentino+El+Camoat%C3%AD/data=!4m2!3m1!1s0xd4228780e286ec5:0x1b388b8b97fb3489,,
MAWEY Taco Bar - Olid,,https://www.google.com/maps/place/MAWEY+Taco+Bar+-+Olid/data=!4m2!3m1!1s0xd42288a998416cb:0x87d0a1ab6510e05e,,
Guru Lab,,https://www.google.com/maps/place/Guru+Lab/data=!4m2!3m1!1s0xd4229f259bd5f91:0x299131b68bac31e7,,
Pink's!! - Villanueva de la Cañada,,https://www.google.com/maps/place/Pink's!!+-+Villanueva+de+la+Ca%C3%B1ada/data=!4m2!3m1!1s0xd419991c0788f61:0xd32e7c90fe2da963,,
Pizzería da Michele Madrid,,https://www.google.com/maps/place/Pizzer%C3%ADa+da+Michele+Madrid/data=!4m2!3m1!1s0xd4229004d26d99d:0xd16c302866ec4b2c,,
Milwaukee Burger: The original,,https://www.google.com/maps/place/Milwaukee+Burger:+The+original/data=!4m2!3m1!1s0xd42291ed00afe0f:0x3cdb05467eabfb26,,
Twister Rock&Food Alcorcón,,https://www.google.com/maps/place/Twister+Rock%26Food+Alcorc%C3%B3n/data=!4m2!3m1!1s0xd418fb93f601c03:0xc78c3df721b5da1c,,
Treze Restaurante & Bar,,https://www.google.com/maps/place/Treze+Restaurante+%26+Bar/data=!4m2!3m1!1s0xd422865a823ee77:0xa0890abf5202b58b,,
Terzio Bar,,https://www.google.com/maps/place/Terzio+Bar/data=!4m2!3m1!1s0xd4229ff6249cabf:0x3b7fcc792a04da2e,,
DIVORARE l Focaccia Madrid,,https://www.google.com/maps/place/DIVORARE+l+Focaccia+Madrid/data=!4m2!3m1!1s0xd42299ca78836f7:0x7c531a5d13d05962,,
DIVORARE l Focaccia Madrid,,https://www.google.com/maps/place/DIVORARE+l+Focaccia+Madrid/data=!4m2!3m1!1s0xd422902b2bc4257:0xec871212b913f092,,
DIVORARE l Focaccia Madrid,,https://www.google.com/maps/place/DIVORARE+l+Focaccia+Madrid/data=!4m2!3m1!1s0xd4229c95aaa03db:0xea68139fed8905c,,
Mawey Taco Bar - Lopez de Hoyos,,https://www.google.com/maps/place/Mawey+Taco+Bar+-+Lopez+de+Hoyos/data=!4m2!3m1!1s0xd4229bad3755e33:0x1c692cce3443c17e,,
Bacira,,https://www.google.com/maps/place/Bacira/data=!4m2!3m1!1s0xd4228f4c9d997bf:0x8d22a4ec789fe0bc,,
Vi Cool,,https://www.google.com/maps/place/Vi+Cool/data=!4m2!3m1!1s0xd42288034139d21:0xe4ae275a137a3df0,,
D.O Boadilla,,https://www.google.com/maps/place/D.O+Boadilla/data=!4m2!3m1!1s0xd418ff7b09f8f17:0x80dacb04a6db3f0c,,
Bichopalo Restaurante,,https://www.google.com/maps/place/Bichopalo+Restaurante/data=!4m2!3m1!1s0xd42295d138066f5:0x2e1efc083322ae47,,
Alto Bardero,tapas curiosas y mejor tortilla madrid ,https://www.google.com/maps/place/Alto+Bardero/data=!4m2!3m1!1s0xd4227005ea06f59:0x693e10634818211f,,
Brutalista,"Menú degustación (incluye patatas, aperitivo y postre a elegir 4 opciones)
3 entrantes 34€
3 entrantes y principal 47€
5 entrantes 49€
5 entrantes y principal 61€",https://www.google.com/maps/place/Brutalista/data=!4m2!3m1!1s0x0:0x6ac583aa4c531d49,,
La Osa Handmade Burgers,,https://www.google.com/maps/place/La+Osa+Handmade+Burgers/data=!4m2!3m1!1s0xd42213858e7a3fb:0x611d9bbde7d4b0cc,,
Pura Vida,,https://www.google.com/maps/place/Pura+Vida/data=!4m2!3m1!1s0xd419973f7974b2d:0x38e1219d51f54b06,,
CABRERA'S,,https://www.google.com/maps/place/CABRERA'S/data=!4m2!3m1!1s0xd422161ffc1d3e5:0x36da268efa0b9c65,,
Restaurante Guisados,,https://www.google.com/maps/place/Restaurante+Guisados/data=!4m2!3m1!1s0xd418bbf7f3fb9e3:0x93ae3ec36642a925,,
The Matbah,,https://www.google.com/maps/place/The+Matbah/data=!4m2!3m1!1s0xd4229d81f1b5a11:0xbd4320f2d2e33c7b,,
PACTO RAÍZ,,https://www.google.com/maps/place/PACTO+RA%C3%8DZ/data=!4m2!3m1!1s0xd4229e7762b4443:0x3e298417b57d7d4b,,
Solo de Croquetas Echegaray,,https://www.google.com/maps/place/Solo+de+Croquetas+Echegaray/data=!4m2!3m1!1s0xd4229eb79dec833:0x7b2aa45d880a123c,,
Indómito Restaurante,,https://www.google.com/maps/place/Ind%C3%B3mito+Restaurante/data=!4m2!3m1!1s0xd41832259372db1:0x75e14a81b6e5b3a2,,
Paellitas Tradición | Arroceria en Madrid,,https://www.google.com/maps/place/Paellitas+Tradici%C3%B3n+%7C+Arroceria+en+Madrid/data=!4m2!3m1!1s0xd42296b57615477:0xc4b31198cc6a1873,,
Solo de Croquetas Reina Victoria,,https://www.google.com/maps/place/Solo+de+Croquetas+Reina+Victoria/data=!4m2!3m1!1s0xd42293d81d5c82b:0x8765cb4ca24d1008,,
Paellitas Tradición​ | Arrocería en Madrid,,https://www.google.com/maps/place/Paellitas+Tradici%C3%B3n%E2%80%8B+%7C+Arrocer%C3%ADa+en+Madrid/data=!4m2!3m1!1s0xd422943029ed2ab:0x51f35aa901bab9b6,,
PORNEAT | Ciudad Lineal,,https://www.google.com/maps/place/PORNEAT+%7C+Ciudad+Lineal/data=!4m2!3m1!1s0xd422f597d8854a3:0xf3bc6311553e6b8e,,
Las Mañanitas - Boadilla,,https://www.google.com/maps/place/Las+Ma%C3%B1anitas+-+Boadilla/data=!4m2!3m1!1s0xd418fdd97124131:0xf521abb9bfa51957,,
Ochenta Grados Pozuelo,,https://www.google.com/maps/place/Ochenta+Grados+Pozuelo/data=!4m2!3m1!1s0xd4187439e7f6a09:0x40417b21edbc6739,,
Grosso Napoletano,,https://www.google.com/maps/place/Grosso+Napoletano/data=!4m2!3m1!1s0xd41874c6eb49cc7:0xe85a0c14279a0bc2,,
Los Chaparritos (Pozuelo),,https://www.google.com/maps/place/Los+Chaparritos+(Pozuelo)/data=!4m2!3m1!1s0xd418646a32861fd:0x4d847a5db5220d12,,
Distrito Burger - Pozuelo,,https://www.google.com/maps/place/Distrito+Burger+-+Pozuelo/data=!4m2!3m1!1s0xd41879e1323a1a1:0x4fc7d7bb739e6c70,,
28 Duelas Vinoteca Tienda Gourmet,,https://www.google.com/maps/place/28+Duelas+Vinoteca+Tienda+Gourmet/data=!4m2!3m1!1s0xd418b0745b9795d:0xcbcb4caae48299c6,,
La Taberna de Pernales,,https://www.google.com/maps/place/La+Taberna+de+Pernales/data=!4m2!3m1!1s0xd418a6227ec84c3:0xedd6d91e599b68d1,,
El Pinchazo Cooking Bar,muy bueno y barato,https://www.google.com/maps/place/El+Pinchazo+Cooking+Bar/data=!4m2!3m1!1s0xd4227ce1dd3c61d:0x976f945ea19bc943,,
Santoku La Mesa,,https://www.google.com/maps/place/Santoku+La+Mesa/data=!4m2!3m1!1s0xd42290e1ead9207:0xe9ba73efd4bea53c,,
Restaurante Cañadio Madrid,,https://www.google.com/maps/place/Restaurante+Ca%C3%B1adio+Madrid/data=!4m2!3m1!1s0xd4228b861eb460b:0xa595a50eac55ca2d,,
